Script started on Sun 08 Nov 2020 13:37:26 GMT
]0;sysop@raspberrypi: ~/seismicpi_plugin[01;32msysop@raspberrypi[00m:[01;34m~/seismicpi_plugin $[00m exit/home/sysop/seiscomp3/share/plugins/seedlink/seismicpi_plugin  -p /home/sysop/seiscomp3/var/lib/seedlink/UK.TEST.00.BHZ.prop
Sun Nov 08 13:37:32 2020 - ERROR: SINGLE_MULTI: 2
Sun Nov 08 13:37:32 2020 - ERROR: LINE_DATA: 1334,-586,6623,0
Sun Nov 08 13:37:32 2020 - ERROR: N_LINE_DATA: 0
Sun Nov 08 13:37:32 2020 - ERROR: LINE_DATA1: 1
Sun Nov 08 13:37:32 2020 - ERROR: SINGLE_MULTI: 2
Sun Nov 08 13:37:32 2020 - ERROR: LINE_DATA: 1334,-586,6623,0
Sun Nov 08 13:37:32 2020 - ERROR: N_LINE_DATA: 0
Sun Nov 08 13:37:32 2020 - ERROR: LINE_DATA1: 1
Sun Nov 08 13:37:32 2020 - ERROR: SINGLE_MULTI: 2
Sun Nov 08 13:37:32 2020 - ERROR: LINE_DATA: 1334,-586,6623,0
Sun Nov 08 13:37:32 2020 - ERROR: N_LINE_DATA: 0
Sun Nov 08 13:37:32 2020 - ERROR: LINE_DATA1: 1
Sun Nov 08 13:37:32 2020 - ERROR: SINGLE_MULTI: 2
Sun Nov 08 13:37:33 2020 - ERROR: LINE_DATA: 1334,-586,6623,0
Sun Nov 08 13:37:33 2020 - ERROR: N_LINE_DATA: 0
Sun Nov 08 13:37:33 2020 - ERROR: LINE_DATA1: 1
Sun Nov 08 13:37:33 2020 - ERROR: SINGLE_MULTI: 2
Sun Nov 08 13:37:33 2020 - ERROR: LINE_DATA: 1334,-586,6623,0
Sun Nov 08 13:37:33 2020 - ERROR: N_LINE_DATA: 0
Sun Nov 08 13:37:33 2020 - ERROR: LINE_DATA1: 1
Sun Nov 08 13:37:33 2020 - ERROR: SINGLE_MULTI: 2
^C]0;sysop@raspberrypi: ~/seismicpi_plugin[01;32msysop@raspberrypi[00m:[01;34m~/seismicpi_plugin $[00m ^C
]0;sysop@raspberrypi: ~/seismicpi_plugin[01;32msysop@raspberrypi[00m:[01;34m~/seismicpi_plugin $[00m /home/sysop/seiscomp3/share/plugins/seedlink/seismicpi_plugin  -p /home/sysop/seiscomp3/var/lib/seedlink/UK.TEST.00.BHZ.prop[A[K
[K[A[C[C[C[C[C[C[C[C[C[C[C[C[C[C[C[C[C[C[C[C[C[C[C[C[C[C[C[C[C[C[C[C[C[C[C[C[C[C[Cexit
exit

Script done on Sun 08 Nov 2020 13:37:39 GMT
